Scenario,Grade,Dose1,Dose2,Dose3,Dose4,Dose5
1,PD,0.92,0.88,0.82,0.7,0.42
1,SD,0,0,0,0,0
1,PR,0.08,0.12,0.18,0.3,0.58
1,CR,0,0,0,0,0
2,PD,0.87,0.82,0.61,0.4,0.39
2,SD,0,0,0,0,0
2,PR,0.13,0.18,0.39,0.6,0.61
2,CR,0,0,0,0,0
3,PD,0.76,0.68,0.42,0.37,0.32
3,SD,0,0,0,0,0
3,PR,0.24,0.32,0.58,0.63,0.68
3,CR,0,0,0,0,0
4,PD,0.55,0.41,0.4,0.39,0.38
4,SD,0,0,0,0,0
4,PR,0.45,0.59,0.6,0.61,0.62
4,CR,0,0,0,0,0
5,PD,0.41,0.37,0.32,0.27,0.23
5,SD,0,0,0,0,0
5,PR,0.59,0.63,0.68,0.73,0.77
5,CR,0,0,0,0,0
6,PD,0.87,0.82,0.68,0.52,0.39
6,SD,0,0,0,0,0
6,PR,0.13,0.18,0.32,0.48,0.61
6,CR,0,0,0,0,0
7,PD,0.82,0.72,0.55,0.37,0.32
7,SD,0,0,0,0,0
7,PR,0.18,0.28,0.45,0.63,0.68
7,CR,0,0,0,0,0
8,PD,0.78,0.52,0.35,0.33,0.31
8,SD,0,0,0,0,0
8,PR,0.22,0.48,0.65,0.67,0.69
8,CR,0,0,0,0,0
9,PD,0.87,0.82,0.61,0.4,0.3
9,SD,0,0,0,0,0
9,PR,0.25,0.35,0.45,0.55,0.65
9,CR,0,0,0,0,0
10,PD,0.82,0.72,0.42,0.37,0.32
10,SD,0,0,0,0,0
10,PR,0.18,0.28,0.58,0.63,0.68
10,CR,0,0,0,0,0
